L,T,magnetization,magnetization_std,n_eff,n_sweeps,n_thermalize,seed
12,2.0,0.9107708333333333,0.05944454014058002,1899.7392629903188,4000,500,0
12,2.05,0.893267361111111,0.07182430964718893,2092.4221835756166,4000,500,1
12,2.1,0.8696458333333333,0.08899561622175423,1720.8093467733506,4000,500,2
12,2.15,0.8392236948125921,0.10468527433169066,1429.064770712572,4000,500,3
12,2.2,0.7992206384929565,0.12661161245476124,1266.9096382107396,4000,500,4
12,2.24,0.762875,0.13774478791328654,921.8142834144783,4000,500,5
12,2.269185314213022,0.7405763888888889,0.14738362107126415,1100.060218311396,4000,500,6
12,2.28,0.7226944444444444,0.14969358423816925,811.1700683681238,4000,500,7
12,2.3,0.7122291666666667,0.15448121254547514,990.1071812857617,4000,500,8
12,2.32,0.6899746969191414,0.1570346305119723,670.4586900234004,4000,500,9
16,2.0,0.9113828125,0.043574147980529505,1920.1346485323504,4000,500,10
16,2.05,0.89191796875,0.05849817364913341,1702.7061749798038,4000,500,11
16,2.1,0.869228515625,0.07290120021329549,1607.1209690755254,4000,500,12
16,2.15,0.8349782758189547,0.0903211967345983,1364.2785571105678,4000,500,13
16,2.2,0.7883359375,0.11186029180672742,1043.079405730539,4000,500,14
16,2.24,0.761068359375,0.12077904793187931,1094.2455824100437,4000,500,15
16,2.269185314213022,0.706017578125,0.14450048907647056,958.4211157222004,4000,500,16
16,2.28,0.7078605588897224,0.15140403528254656,1196.5292034709298,4000,500,17
16,2.3,0.6666269531250001,0.1542950689467699,835.681154043746,4000,500,18
16,2.32,0.634044921875,0.16489411952325542,835.0343750537706,4000,500,19
24,2.0,0.9092734375,0.03329436411306608,2039.4523225088687,4000,500,20
24,2.05,0.8926762152777779,0.03913541145125831,1775.2128923074717,4000,500,21
24,2.1,0.8674652777777778,0.04699151909510408,1790.456392692996,4000,500,22
24,2.15,0.8363653413353338,0.061868563137505134,1310.215544209449,4000,500,23
24,2.2,0.7879887152777777,0.08410315131690183,1028.2870968694933,4000,500,24
24,2.24,0.7328682849516184,0.11168280844841125,702.8739962735297,4000,500,25
24,2.269185314213022,0.6804427083333333,0.1329046707739737,815.549919761292,4000,500,26
24,2.28,0.6554496527777778,0.1423537473695952,771.6435758231381,4000,500,27
24,2.3,0.6189895833333333,0.14794454958186587,816.2720744290306,4000,500,28
24,2.32,0.5746345486111111,0.16177703259267434,747.8656693256927,4000,500,29
32,2.0,0.91223193359375,0.021825166625908488,2017.9022777942969,4000,500,30
32,2.05,0.89178125,0.02862748979639263,1885.9991116737403,4000,500,31
32,2.1,0.8695313476806701,0.03267673459944827,1584.9543079563366,4000,500,32
32,2.15,0.836187074112278,0.043845693652125386,1398.4471042270309,4000,500,33
32,2.2,0.7851914150412603,0.07448217141167118,1191.4924835125748,4000,500,34
32,2.24,0.72323486328125,0.11279129271658446,930.0649201045574,4000,500,35
32,2.269185314213022,0.6535805664062501,0.13087112677985327,848.9446564867077,4000,500,36
32,2.28,0.626102389291969,0.1333372844640738,611.4350225010453,4000,500,37
32,2.3,0.5905791648423818,0.1393598123378802,534.0974101093498,4000,500,38
32,2.32,0.5131602608206155,0.15094102713594573,597.8861147481903,4000,500,39
40,2.0,0.9112078125,0.017582880363247597,2170.8767648744965,4000,500,40
40,2.05,0.8926896875,0.02243739368571019,1949.4794695752494,4000,500,41
40,2.1,0.8678278125000001,0.02932233272397562,1684.629548570742,4000,500,42
40,2.15,0.8343232683170791,0.03977942692819799,1206.0080661537938,4000,500,43
40,2.2,0.7884806249999999,0.056377412903862556,1087.9276226145748,4000,500,44
40,2.24,0.7146092967967969,0.09142317307895592,683.6839927332267,4000,500,45
40,2.269185314213022,0.6410169544544544,0.12327373469750334,651.9712945845141,4000,500,46
40,2.28,0.6050225168876657,0.13522779612677535,595.7891260786089,4000,500,47
40,2.3,0.5229221875000001,0.147293310706544,513.8751128204434,4000,500,48
40,2.32,0.45815503003003005,0.14577202992132685,443.47811283938404,4000,500,49
48,2.0,0.911851779513889,0.01424608781913198,2132.90996638292,4000,500,50
48,2.05,0.8932667100694445,0.018175696895290357,2072.0573394735407,4000,500,51
48,2.1,0.8685496961805556,0.0235371376689661,1668.572251082553,4000,500,52
48,2.15,0.8353097388930565,0.03349510457291071,1435.4301231891184,4000,500,53
48,2.2,0.7855412326388889,0.047011451503088386,854.0302994192456,4000,500,54
48,2.24,0.7069032118055556,0.08610264945688732,741.2680957384833,4000,500,55
48,2.269185314213022,0.6231433557807244,0.12059936710157783,564.3236576520665,4000,500,56
48,2.28,0.5803356423567676,0.1339013257729908,538.9474287277793,4000,500,57
48,2.3,0.503360159008145,0.14327644704402864,537.6196246055051,4000,500,58
48,2.32,0.42229490775497724,0.15212237045165772,644.0797876376215,4000,500,59
