L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,m2,m2_std,n_eff_m2,m4,m4_std,n_eff_m4,n_sweeps,n_thermalize,seed
16,2.2351,0.7594446614583333,0.1666739153994617,2804.7353515625,-0.32650079737416976,0.3913929060327126,4643.096219716237,110.37117152196771,52.91044260584057,3539.279647109581,3.0685007704286273,3.5800134976699636,5250.559686854774,0.6340412983629752,0.07012277318174222,2173.0350285644577,0.6045340728759766,0.20526680444957268,2822.62060546875,0.40759239507187156,0.21191134131229122,2970.717041015625,12000,1000,0
16,2.2465,0.7444375,0.17576963004231153,2947.8544921875,-0.3576374857873187,0.48998953414583496,5283.058072755582,104.6863083314786,52.684284204087625,3963.678219039949,2.954879999614071,3.5985455651693474,5250.541089363893,0.628901707650598,0.07880485947656099,2069.143173974145,0.5850795796712239,0.2122548475509788,2977.19921875,0.38736648051378625,0.2142692526381525,3170.0380859375,12000,1000,1
16,2.2578,0.7331263020833333,0.17819494023892982,2965.294921875,-0.3800682772307049,0.5463933060274732,6446.644618010273,99.46786556603773,52.454370263795305,3663.5618562439777,2.8156763976968846,3.650020348254124,5325.148940386453,0.6252311218079408,0.08810549623668895,2392.9700435355207,0.5692249654134115,0.21251243646855103,2697.76806640625,0.36917483344239493,0.2103312428902959,2687.57080078125,12000,1000,2
16,2.2692,0.712400390625,0.1898221090609494,2430.681640625,-0.41213921117277336,0.4102853592401671,3587.510998145329,93.83161891213496,52.52939265699825,3639.667157342401,2.680013872199146,3.6771631479061426,5113.839930202596,0.6198918295625881,0.0940643565924658,2284.823075472706,0.5435437469482421,0.22151286862525563,2446.956787109375,0.3445036668172106,0.21203020632078382,2648.338623046875,12000,1000,3
16,2.2805,0.699953125,0.1958196568860242,2495.057861328125,-0.45268480320447707,0.6855953552735081,6050.472312047299,88.378166566177,51.87882565644698,3594.7989976516847,2.575131063086749,3.6429451582359547,5329.161196543099,0.6139576380252393,0.10067846198690329,2030.7831064758238,0.5282765197753906,0.22458938631737738,2553.62841796875,0.32951227042637765,0.21131340918905397,2745.045166015625,12000,1000,4
16,2.2919,0.6832858072916667,0.2068019323917567,2230.857421875,-0.5024617424144842,0.8154204530345466,5511.180287450166,83.26064130288553,51.5637095815579,3244.850651019033,2.346676143265285,3.77131829579562,5081.53573807195,0.6012277036359717,0.11450739446721436,1639.1559115881446,0.5096429697672527,0.23143205220579607,2215.46435546875,0.31329228802180537,0.2122519686049595,2460.36572265625,12000,1000,5
16,2.3032,0.6682421875,0.2078994846106335,2403.703125,-0.5311367683265001,0.8529405041659782,5580.074344684845,78.40626515102177,50.11147530667906,3327.6420920781193,2.232597500738143,3.77354085222848,5119.798375379907,0.5988720324586453,0.11138325128383048,1715.23093622323,0.4897662150065104,0.2301294367083375,2332.0400390625,0.2928260897050301,0.20606388885257357,2405.864501953125,12000,1000,6
32,2.2351,0.7300447591145833,0.13432944979713102,2744.81884765625,-0.3523696310364206,0.43633759213248924,5253.0248932109225,381.89859563633433,249.86418419514405,4127.667929425506,3.6104588460737492,4.63637688743224,5486.982136752164,0.6447421351325904,0.0567770502879054,2206.2635291384536,0.5510082476933797,0.1607365240706845,2727.654052734375,0.3294441661772738,0.15192182155129477,2829.56787109375,12000,1000,7
32,2.2465,0.7063595377604167,0.14671587008388248,2477.899169921875,-0.3935558610264592,0.3721404065325245,4638.5733479009095,347.0579279283978,186.46997179049063,3967.7379378626238,3.319889320311294,4.725898384274446,5475.80224390294,0.6359487462871087,0.06649575525674035,1766.0536402171665,0.5204675493240356,0.16951520539486467,2369.641845703125,0.29961948014235895,0.15246371243729887,2381.842041015625,12000,1000,8
32,2.2578,0.6823543294270833,0.16249087392213574,2015.3721923828125,-0.43975860983434945,0.31068703154289135,2641.9447351698063,318.36031401903955,185.07475078165982,3550.5141657487197,3.083209077969373,4.772613883596962,5388.620949934672,0.6269558615195281,0.05639866758656698,1321.5465952592033,0.4920085147221883,0.18031744679756845,1929.9422607421875,0.2745840506469261,0.15372203566891535,1971.0269775390625,12000,1000,9
32,2.2692,0.6549619140625,0.17485722465298364,1779.930908203125,-0.4970913211777348,0.3838200357326857,3058.4234934542114,290.5585623053646,183.66631886834915,3224.5092400976164,2.889870505542475,4.763124340036844,5422.6521075011415,0.6168278573928622,0.07830914782377604,1183.5268622408382,0.4595476099650065,0.18714732481020246,1777.2857666015625,0.24620520833139986,0.15154816317816747,1923.123046875,12000,1000,10
32,2.2805,0.6252247721354167,0.18314689558263827,2011.727294921875,-0.5554511377405086,0.41135905143765333,3140.444946999113,257.7417779760926,172.41630919936156,3396.722435879328,2.6379725755217747,4.767490520670285,5365.467146608831,0.6070425356108144,0.10247702527676414,1390.4476472163983,0.42444600582122805,0.19137523018974428,1963.1776123046875,0.21677583854787735,0.1485119160250398,2041.8770751953125,12000,1000,11
32,2.2919,0.5882306315104167,0.1991258812292141,1582.788818359375,-0.6593498859642505,0.580901828043264,3388.95861426368,225.61981828327478,169.45605879066352,2869.9562746747765,2.324758897797049,4.762307653260935,5437.097724865582,0.5869427974154329,0.09632915558233125,1132.1357543233873,0.3856630881627401,0.19817999041509818,1596.533447265625,0.1880080532297664,0.14481364181791959,1755.961181640625,12000,1000,12
32,2.3032,0.5636555989583333,0.20234850913995867,1720.0447998046875,-0.7164589918265493,0.5889598646791193,3417.096515580231,198.291116537589,162.4319302811226,2788.868539962801,2.036463982615199,4.764841291822555,5306.898149509239,0.5779008592008457,0.0913336714065908,1094.6465148815985,0.3586491413116455,0.19548981190651465,1779.1387939453125,0.16684228843394522,0.1367056594733228,2010.391845703125,12000,1000,13
48,2.2351,0.7261702835648148,0.1042015764868834,2494.290771484375,-0.3370082997213895,0.1610814788835692,3236.1599213982336,818.6675922663579,536.0437210959985,4534.89643219014,3.862424974488218,5.376918779501094,5853.247868715477,0.6524859766116283,0.03550955690152277,1846.3511225214093,0.5381803444442435,0.12789273585307398,2420.849365234375,0.30599327198411835,0.11901971700176213,2449.515625,12000,1000,14
48,2.2465,0.6912913773148148,0.12942774822304637,2053.720703125,-0.40442055840894103,0.31741547737052,3503.7737235383643,725.4177076378071,396.4318728848935,3860.027461501883,3.5726557981804974,5.3804146114761355,5527.58366210201,0.6427679528162727,0.05431525260832754,1472.0573534209184,0.4946339143980678,0.14758052423194765,2028.0755615234375,0.2664409054044038,0.12612197971253183,2099.31005859375,12000,1000,15
48,2.2578,0.6566599392361111,0.14874803260886585,1995.1680908203125,-0.4708402832760407,0.2925453205490266,2572.355256763936,634.6440332080269,381.6143459401841,3553.9786018320206,3.2573358150959866,5.3717139679220525,6000.0,0.6315990846770685,0.07049093582479088,1464.9586130075631,0.4533264091711476,0.16069121829795358,1920.2972412109375,0.23132434908445082,0.12705372011525393,1946.8209228515625,12000,1000,16
