L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,m2,m2_std,n_eff_m2,m4,m4_std,n_eff_m4,n_sweeps,n_thermalize,seed
48,2.255,0.6727186053240741,0.14032505693663713,4509.853515625,-0.44254077260751096,0.33003293786009275,8392.341004528767,672.638691257083,389.3469692488921,9719.48703857126,3.346565206577631,5.426560291029034,14339.3684842082,0.6355822260400626,0.06361219206187112,3184.4967635451076,0.4722407871827176,0.15423108562500423,4376.66455078125,0.24679779594442777,0.12587387799584981,4543.72900390625,30000,3000,0
48,2.2621,0.6443897280092592,0.15803930751496142,4124.912109375,-0.5039507567637209,0.3748460366821174,6911.505446255294,604.8565356398183,382.6382116655617,8434.081067329733,3.052456401508897,5.457184572681142,13682.600334984563,0.6244713151875436,0.0799840554407381,2984.5021254668777,0.4402137117362317,0.16541896914167506,4189.29541015625,0.22115063523797276,0.1270140672293018,4358.86279296875,30000,3000,1
48,2.2668,0.6305856192129629,0.16172007872032337,4067.149169921875,-0.5303498011747068,0.3827147855540995,5842.995036007205,577.9197688381485,378.01812651842914,8479.296674751977,3.0111425285879267,5.411240859928591,13484.247852005068,0.6200724589376156,0.06374377429843106,2657.8174133988095,0.4237907352400414,0.16724546959721093,4086.241943359375,0.20756870200784983,0.12532971519581323,4361.3935546875,30000,3000,2
48,2.2692,0.6208378472222222,0.16807472210213234,4486.17236328125,-0.5535587341396372,0.3751288277556101,5570.63396290205,560.8247898284433,372.8187064754245,8429.962080854215,2.9741696186733515,5.380258200543998,14218.783715781621,0.6134477439491219,0.10426022300519194,3168.72813244437,0.4136878031161587,0.17034217879098887,4400.04833984375,0.20015308910707238,0.12458796519171585,4607.23681640625,30000,3000,3
48,2.2715,0.6112216724537037,0.17167163848462255,4271.53662109375,-0.5771906266536255,0.4350861249027825,6829.835551188026,533.7239376971899,370.84800750028666,8081.587085242903,2.810689704404188,5.4145629309558005,14019.541662146217,0.610442722814625,0.0985205256881592,2905.339157671125,0.4030621019653823,0.17178030532062835,4169.77685546875,0.19196654772102398,0.12357475118011244,4432.103515625,30000,3000,4
48,2.2763,0.5994026041666667,0.17750014801278757,3674.04541015625,-0.6037916906872932,0.40676691657863717,6287.649711422904,509.50125177757604,362.95478691720336,7749.05308506512,2.688180572670864,5.432917541249883,13655.283536262737,0.604100709208785,0.10213928706884741,2565.7397114670243,0.39078873421625837,0.17498882522472675,3566.130859375,0.18333590304091024,0.1231367283651166,3706.492431640625,30000,3000,5
48,2.2834,0.5633933738425927,0.19087313080909427,3615.52490234375,-0.6989185408294358,0.50452490797,5861.31968894365,443.55797070705967,346.12568614732453,7128.945238523499,2.3902529193655235,5.395355159129315,13569.708870278424,0.5857206672184464,0.1233185594375371,2620.423192146543,0.3538434313362027,0.17935899047844783,3540.506103515625,0.1573737490436438,0.11823818578110144,3769.689208984375,30000,3000,6
64,2.2585,0.6449699055989583,0.14014821176237402,4560.73388671875,-0.4871210402371774,0.3220080277889821,6679.871495075757,1058.9067679362915,642.360393009758,9523.589374296047,3.295042629933433,5.925169914571973,14331.223712573821,0.6323266770633913,0.0774815235071324,3260.756709110044,0.43562704567114513,0.14688439477929985,4373.5478515625,0.21134522918233684,0.11015386578545291,4456.70556640625,30000,3000,7
64,2.2639,0.6234460286458333,0.14937035125534462,3695.300537109375,-0.5302460086048564,0.3297224337240417,6011.660862457342,980.2255813794319,637.4219603387251,8662.639816124489,3.175842248179778,5.880880965148291,13903.306238350167,0.6271919834973452,0.053639581206877125,2839.767234744317,0.41099570875167846,0.15254750409496728,3396.035888671875,0.1921874379265317,0.10962115698483779,3497.86865234375,30000,3000,8
64,2.2674,0.6106120279947916,0.1583445830518001,3525.92578125,-0.5653758829728033,0.37703053915402746,6145.173319862139,938.4944945861955,623.177263930544,8496.59346788784,3.112526617544398,5.835444060573388,14230.678600129206,0.6185206480698996,0.09193011165735161,2879.866700331337,0.39791921994686125,0.15710793017426447,3395.356201171875,0.18302178456336932,0.10939574731448197,3581.353515625,30000,3000,9
