L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,m2,m2_std,n_eff_m2,m4,m4_std,n_eff_m4
128,2.380952,,,,,,,,,,,,,0.0627124,0.00133609,1.0,,,,,,
128,2.366864,,,,,,,,,,,,,0.082328,0.0014248,1.0,,,,,,
128,2.352941,,,,,,,,,,,,,0.112236,0.00161251,1.0,,,,,,
128,2.339181,,,,,,,,,,,,,0.152254,0.00245162,1.0,,,,,,
128,2.325581,,,,,,,,,,,,,0.228519,0.00281937,1.0,,,,,,
128,2.312139,,,,,,,,,,,,,0.352999,0.00282952,1.0,,,,,,
128,2.298851,,,,,,,,,,,,,0.532652,0.00153157,1.0,,,,,,
128,2.295552,,,,,,,,,,,,,0.586059,0.00232473,1.0,,,,,,
128,2.292264,,,,,,,,,,,,,0.640964,0.00203462,1.0,,,,,,
128,2.288984,,,,,,,,,,,,,0.689006,0.00325805,1.0,,,,,,
128,2.285714,,,,,,,,,,,,,0.740895,0.00212872,1.0,,,,,,
128,2.282454,,,,,,,,,,,,,0.783912,0.00367168,1.0,,,,,,
128,2.279202,,,,,,,,,,,,,0.82529,0.00247367,1.0,,,,,,
128,2.27596,,,,,,,,,,,,,0.862362,0.0012701,1.0,,,,,,
128,2.272727,,,,,,,,,,,,,0.890165,0.000861916,1.0,,,,,,
128,2.269504,,,,,,,,,,,,,0.915625,0.00171305,1.0,,,,,,
128,2.266289,,,,,,,,,,,,,0.931878,0.00103738,1.0,,,,,,
128,2.263083,,,,,,,,,,,,,0.949773,0.00084784,1.0,,,,,,
128,2.259887,,,,,,,,,,,,,0.95974,0.000582526,1.0,,,,,,
128,2.2567,,,,,,,,,,,,,0.968606,0.000397214,1.0,,,,,,
128,2.253521,,,,,,,,,,,,,0.975176,0.0004693,1.0,,,,,,
128,2.250352,,,,,,,,,,,,,0.980086,0.000303032,1.0,,,,,,
128,2.247191,,,,,,,,,,,,,0.984088,0.000153741,1.0,,,,,,
128,2.234637,,,,,,,,,,,,,0.992296,0.000108199,1.0,,,,,,
128,2.222222,,,,,,,,,,,,,0.995618,5.59468e-05,1.0,,,,,,
128,2.209945,,,,,,,,,,,,,0.997195,3.86556e-05,1.0,,,,,,
128,2.197802,,,,,,,,,,,,,0.998084,2.07634e-05,1.0,,,,,,
128,2.185792,,,,,,,,,,,,,0.998592,1.43003e-05,1.0,,,,,,
128,2.173913,,,,,,,,,,,,,0.998934,8.45425e-06,1.0,,,,,,
256,2.325581,,,,,,,,,,,,,0.0628317,0.00119911,1.0,,,,,,
256,2.318841,,,,,,,,,,,,,0.0745381,0.00193884,1.0,,,,,,
256,2.312139,,,,,,,,,,,,,0.102174,0.00224542,1.0,,,,,,
256,2.305476,,,,,,,,,,,,,0.14329,0.00328739,1.0,,,,,,
256,2.298851,,,,,,,,,,,,,0.209437,0.00347494,1.0,,,,,,
256,2.292264,,,,,,,,,,,,,0.310293,0.00335111,1.0,,,,,,
256,2.285714,,,,,,,,,,,,,0.477998,0.00170265,1.0,,,,,,
256,2.284085,,,,,,,,,,,,,0.526115,0.00244774,1.0,,,,,,
256,2.282454,,,,,,,,,,,,,0.585047,0.00364403,1.0,,,,,,
256,2.280829,,,,,,,,,,,,,0.633981,0.00199553,1.0,,,,,,
256,2.279202,,,,,,,,,,,,,0.686501,0.00140054,1.0,,,,,,
256,2.277583,,,,,,,,,,,,,0.732375,0.00233375,1.0,,,,,,
256,2.27596,,,,,,,,,,,,,0.782392,0.00151191,1.0,,,,,,
256,2.274345,,,,,,,,,,,,,0.82368,0.00249512,1.0,,,,,,
256,2.272727,,,,,,,,,,,,,0.856847,0.000953108,1.0,,,,,,
256,2.271117,,,,,,,,,,,,,0.885798,0.00103367,1.0,,,,,,
256,2.269504,,,,,,,,,,,,,0.912963,0.000598006,1.0,,,,,,
256,2.267898,,,,,,,,,,,,,0.931674,0.00108284,1.0,,,,,,
256,2.266289,,,,,,,,,,,,,0.945796,0.000744407,1.0,,,,,,
256,2.264688,,,,,,,,,,,,,0.958299,0.000503067,1.0,,,,,,
256,2.263083,,,,,,,,,,,,,0.96827,0.000533894,1.0,,,,,,
256,2.261487,,,,,,,,,,,,,0.974754,0.000366296,1.0,,,,,,
256,2.259887,,,,,,,,,,,,,0.9798,0.000199458,1.0,,,,,,
256,2.253521,,,,,,,,,,,,,0.990841,9.64041e-05,1.0,,,,,,
256,2.247191,,,,,,,,,,,,,0.994983,5.22269e-05,1.0,,,,,,
256,2.240896,,,,,,,,,,,,,0.996874,4.3091e-05,1.0,,,,,,
256,2.234637,,,,,,,,,,,,,0.997871,1.79592e-05,1.0,,,,,,
256,2.228412,,,,,,,,,,,,,0.998471,4.68811e-06,1.0,,,,,,
256,2.222222,,,,,,,,,,,,,0.998856,1.09646e-05,1.0,,,,,,
64,2.5,,,,,,,,,,,,,0.063064,0.00141815,1.0,,,,,,
64,2.469136,,,,,,,,,,,,,0.0843939,0.000782314,1.0,,,,,,
64,2.439024,,,,,,,,,,,,,0.114002,0.00153866,1.0,,,,,,
64,2.409639,,,,,,,,,,,,,0.159256,0.00258084,1.0,,,,,,
64,2.380952,,,,,,,,,,,,,0.237436,0.00225512,1.0,,,,,,
64,2.352941,,,,,,,,,,,,,0.366554,0.00275261,1.0,,,,,,
64,2.325581,,,,,,,,,,,,,0.563848,0.002753,1.0,,,,,,
64,2.318841,,,,,,,,,,,,,0.613166,0.00129468,1.0,,,,,,
64,2.312139,,,,,,,,,,,,,0.668831,0.00364234,1.0,,,,,,
64,2.305476,,,,,,,,,,,,,0.709637,0.00217177,1.0,,,,,,
64,2.298851,,,,,,,,,,,,,0.76514,0.00181335,1.0,,,,,,
64,2.292264,,,,,,,,,,,,,0.807753,0.0020668,1.0,,,,,,
64,2.285714,,,,,,,,,,,,,0.846909,0.00246453,1.0,,,,,,
64,2.279202,,,,,,,,,,,,,0.87796,0.00180284,1.0,,,,,,
64,2.272727,,,,,,,,,,,,,0.904368,0.000975146,1.0,,,,,,
64,2.266289,,,,,,,,,,,,,0.925762,0.00100519,1.0,,,,,,
64,2.259887,,,,,,,,,,,,,0.942917,0.00105885,1.0,,,,,,
64,2.253521,,,,,,,,,,,,,0.954076,0.000654894,1.0,,,,,,
64,2.247191,,,,,,,,,,,,,0.964935,0.000386201,1.0,,,,,,
64,2.240896,,,,,,,,,,,,,0.972583,0.000356221,1.0,,,,,,
64,2.234637,,,,,,,,,,,,,0.978021,0.000288357,1.0,,,,,,
64,2.228412,,,,,,,,,,,,,0.982403,0.000295113,1.0,,,,,,
64,2.222222,,,,,,,,,,,,,0.985793,0.000161352,1.0,,,,,,
64,2.197802,,,,,,,,,,,,,0.992838,7.16103e-05,1.0,,,,,,
64,2.173913,,,,,,,,,,,,,0.995952,4.73828e-05,1.0,,,,,,
64,2.150538,,,,,,,,,,,,,0.997402,2.57956e-05,1.0,,,,,,
64,2.12766,,,,,,,,,,,,,0.998173,1.20461e-05,1.0,,,,,,
64,2.105263,,,,,,,,,,,,,0.99866,1.29709e-05,1.0,,,,,,
