L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,m2,m2_std,n_eff_m2,m4,m4_std,n_eff_m4,n_sweeps,n_thermalize,seed
8,8.0,0.1342,0.1016560037745197,1894.9447021484373,-4.041785808673397,6.658933201020066,9916.4765625,0.2266096409375,0.3163594710716103,1822.930419921875,-2.77700621968548,2.251154202121539,3115.487060546875,0.0178598858632076,1.1170634866745452,1824.5247802734373,0.02834306640625,0.0395435822411961,1824.5247802734373,0.0023669461250305,0.0072415247228346,2130.665771484375,20000,2000,10012
64,2.105263,0.8657299377441406,0.0228542463219142,31854.416015625,-0.1445371943885659,0.0267718216836681,31916.76953125,1459.220756727919,76.06059718008025,31812.337890625,7.284251305809909,0.0535443384031649,31916.916015625,0.665761069420862,0.0018162914636486,31773.880859375,0.7500106351524591,0.0390929379308655,31811.95703125,0.5640441915346392,0.0574759781030135,31773.880859375,80000,8000,85
64,2.12766,0.8521066589355468,0.0261476318447635,28803.625,-0.1605263246899705,0.0312786932565032,28909.78125,1399.1016913225706,84.94462251060298,29044.263671875,7.241655433942412,0.0629352275102256,29215.7578125,0.6654535486229389,0.0020100057036855,28688.876953125,0.7267694483071566,0.0438441379176769,28734.138671875,0.5301161153935776,0.062097770110775,28688.876953125,80000,8000,84
64,2.150538,0.8354161071777344,0.0309240535509287,28167.220703125,-0.180536363923696,0.0380912247110616,28353.76953125,1331.1047301750525,96.2437396893865,28095.931640625,7.19096930021102,0.0762337962808199,28384.375,0.6649267284857018,0.0029453611700637,27998.138671875,0.6988763572663069,0.0504929331319122,28063.587890625,0.4909776671728826,0.068146180692758,27998.138671875,80000,8000,83
64,2.173913,0.8148728881835937,0.0381105074369726,25226.74609375,-0.2058991361615979,0.0496815439357606,26049.515625,1253.8479534715486,112.88378553897022,25022.572265625,7.129429315103918,0.0994438124668147,26094.17578125,0.6639688884713486,0.0048262017724166,24844.736328125,0.6654702165186405,0.0598680461774994,24978.3515625,0.4464347472241906,0.0758339358022448,24844.736328125,80000,8000,82
64,2.197802,0.7877934631347656,0.0493749273076994,22169.55078125,-0.2407830656586265,0.0710787237748533,24073.669921875,1161.17561756113,136.48371474474752,21730.568359375,7.048735283133641,0.1422758193874319,24106.12109375,0.662063258876372,0.0089517426403292,21488.54296875,0.6230563935309649,0.0732201177225443,21722.490234375,0.3935603881442953,0.0848592310914681,21488.54296875,80000,8000,81
64,2.222222,0.7490887939453125,0.0717065636900212,16944.6875,-0.2952634200174427,0.1286179798026079,18072.23828125,1043.7595681402718,176.13856501280003,16902.9921875,6.928734370106617,0.2571429248402883,18069.5234375,0.6571742277476309,0.0236375352339811,16901.861328125,0.566275788217783,0.0955609020443209,16901.861328125,0.3298000401726207,0.0964618934025237,17139.076171875,80000,8000,80
64,2.228412,0.7378706237792969,0.078323786708583,16340.1357421875,-0.3126105921487874,0.1574574558068272,18381.5703125,1012.0241651004656,185.7489166508232,16271.2265625,6.891256150187884,0.314892236679701,18380.287109375,0.6554375908619694,0.0257304193814292,16271.3017578125,0.5505875963181257,0.1010559227237703,16271.3017578125,0.31335887308318,0.0984740560724832,16560.17578125,80000,8000,79
64,2.234637,0.7230805053710937,0.0902204745434345,14212.1787109375,-0.336971374243255,0.1936152162428955,16064.87109375,973.2741101147444,203.84883545296023,14102.689453125,6.83974341616527,0.3872268322020131,16079.34375,0.6520446548428611,0.0343866641267498,14102.4111328125,0.5309850495278835,0.1112113724325236,14102.4111328125,0.2943129375808374,0.1025550264729677,14502.8076171875,80000,8000,78
64,2.240896,0.70537900390625,0.1021684756289837,14651.9365234375,-0.3682717152419451,0.265348096724295,19474.59765625,928.5388575119288,220.26236624175556,14412.4912109375,6.774769681986184,0.4998284810483158,17757.49609375,0.6479100081114499,0.0374398924339313,14412.5576171875,0.507997806084156,0.1205044027827328,14412.5576171875,0.2725829005599503,0.1053342466151183,14714.4951171875,80000,8000,77
64,2.247191,0.6864735168457031,0.1144891963894334,12067.865234375,-0.4027938804737264,0.3087696289425905,15602.8720703125,882.8345718541746,236.1500231171709,12284.8583984375,6.702997144394694,0.5900058764089647,14435.0390625,0.642822081828261,0.0554720564527744,12284.275390625,0.484353501573205,0.129545003809454,12284.275390625,0.251380012724366,0.1073893290642354,13112.478515625,80000,8000,76
64,2.253521,0.666567236328125,0.1265954527619487,12975.279296875,-0.4424095266306754,0.3763997882999871,16393.0546875,836.6873386028158,250.29370785465807,12760.884765625,6.621762084415892,0.6998780609532966,14963.3720703125,0.6368742320882033,0.0624731388846021,12744.5673828125,0.4603380888760089,0.1376237062229613,12744.5673828125,0.2308512038310038,0.1084432302771712,13031.869140625,80000,8000,75
64,2.259887,0.6426473327636719,0.141049548492714,10919.091796875,-0.4910528290739372,0.4151769199243663,14510.69140625,784.6031690029276,267.3592587669681,10660.390625,6.520975937004746,0.8073608464423904,13884.466796875,0.6279661309741262,0.0806438053274019,10660.2568359375,0.432890320751071,0.147502610076152,10660.2568359375,0.2091507778164927,0.1100561842423337,11070.0830078125,80000,8000,74
64,2.266289,0.6131015991210937,0.1541450815974784,10491.1572265625,-0.5551038832844987,0.5120667185872275,15621.5302734375,722.3076208963201,279.70896822367206,10057.7412109375,6.391886413471068,0.9395703125107232,14043.7607421875,0.6167035147576201,0.0826909115099018,10055.81640625,0.3996539800167084,0.1547292419978762,10055.81640625,0.1836641428082037,0.1088847631583903,10326.8466796875,80000,8000,73
64,2.272727,0.583548583984375,0.1687818987686771,9605.16796875,-0.6280277355784044,0.5776638443792425,12570.2587890625,665.0550374845916,291.44424944593567,9331.181640625,6.24209967149759,1.1122318487931664,11886.8759765625,0.6026554396157653,0.092460923031073,9331.1640625,0.3690159231305122,0.1617098686655841,9331.1640625,0.1623225062716843,0.1070768382574467,9660.4267578125,80000,8000,72
64,2.279202,0.5469678527832031,0.1808272015637757,9295.3310546875,-0.7196433004940712,0.6830332279430514,13752.6884765625,596.4124477552909,298.0793559754694,8982.181640625,6.059071906068687,1.2508950332014137,12218.728515625,0.5834089625678436,0.1106803691638069,8982.09375,0.3318719000726938,0.1658616719298937,8982.09375,0.137648708397062,0.1031080056442487,9342.5068359375,80000,8000,71
64,2.285714,0.5150599487304688,0.1883681326597135,8900.2685546875,-0.8059588060305584,0.7530090261337875,13195.9296875,538.977054435827,297.4361132041972,8634.9296875,5.883730208636068,1.3945551338829254,11789.6396484375,0.5651533991601205,0.1611171371305969,8634.9609375,0.300768860656023,0.1659807092038931,8634.9609375,0.1180111589982016,0.0974040071026615,9053.263671875,80000,8000,70
