L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,n_sweeps,n_thermalize,seed
16,2.0,0.91020703125,0.04889800133371396,1119.1036620306513,-0.09725026515768667,0.06979826392029427,1291.6971221174829,197.16579296875,60.01946712127155,876.9235097746345,4.66852285210571,2.4498677561604225,971.5064558061837,0.6641047185067743,0.014391805139720189,960.0879952232837,2000,500,0
16,2.15,0.8400940002502504,0.08304932499707106,620.4005908222508,-0.18570870879412432,0.12991703681467467,618.154932972206,143.16632630813953,70.40904130032001,822.4763321693447,3.6038565105901883,3.466109900361981,947.1001891067034,0.655381650126343,0.03266751532682541,457.42558683954496,2000,500,1
16,2.2,0.796390625,0.10504056670920256,569.044654068157,-0.25479081566981976,0.2155900996603534,644.0104747903852,121.92382102272728,70.63720372324099,799.4544777496246,3.226320853960631,3.5902148103934466,1000.0,0.6433878948570054,0.05443452803224347,364.35712061080403,2000,500,2
16,2.269185314213022,0.7133203125,0.1373037854291225,401.6270108922115,-0.41232193427988306,0.3771566269424845,483.713266133967,93.54700254995235,66.88254650090624,682.9755228429233,2.7081340899135804,3.6353163308969023,869.0435639924622,0.6161666920870268,0.09012104844029714,307.2496387546455,2000,500,3
16,2.3,0.66476953125,0.15574204381684395,452.48084729207716,-0.5387965642412743,0.8291306293521703,926.1659814245596,74.38604959239132,47.261710320619855,636.798817506698,2.1311662835448244,3.7673327728951644,905.403712223248,0.6016030380544732,0.10144787561019594,282.6799493231889,2000,500,4
16,2.32,0.6384492187499999,0.152587306263762,400.6829639467406,-0.5675434937976327,0.45108822929896203,536.1613920174034,70.47024851831898,46.836211988482376,529.9717852862137,2.093833312052744,3.755749879660151,899.4568736678137,0.5809444871190728,0.09945728932631928,259.29378681225876,2000,500,5
32,2.0,0.9124365234375,0.020957707832530363,984.4651648882983,-0.09205596514224612,0.023413075280605298,985.4100924436567,773.6339814453125,251.89979908448944,1000.0,5.599332008101121,3.612911131987816,1000.0,0.6662663117000902,0.0008568824842509021,995.5435964433796,2000,500,6
32,2.15,0.8369795576826828,0.045491234306707644,737.6756847062223,-0.18092308920180813,0.061850831858803426,741.7030242319104,566.058422056686,254.8773228036075,729.558978021999,4.7431510361691505,4.186490014573808,859.3774513175323,0.663448657147207,0.007893697516868714,532.4174268580144,2000,500,7
32,2.2,0.78535546875,0.07180118959849505,527.961255920892,-0.25190337150471775,0.12622355920342296,576.5181591077759,458.4206178977273,260.9237120686327,697.335166362884,3.9848513764775193,4.622998529739782,891.6812324419801,0.656754713352469,0.025006715593097296,408.10665738413894,2000,500,8
32,2.269185314213022,0.6507845736361361,0.13250429103627434,361.8540745761483,-0.5078508307066264,0.37659369745050353,461.7185333849737,286.5105279633596,179.3310734448045,596.5446140523723,2.876558633701503,4.756794005568494,1000.0,0.6103399301378796,0.10360553605323676,248.96580428963557,2000,500,9
32,2.3,0.5935163679304304,0.13356477857298457,213.1278208962706,-0.6337706062997188,0.41929916330022,313.27226622087744,233.90528702445656,167.42472568187924,519.307458733011,2.575003285145133,4.624162933321943,1000.0,0.584527660892315,0.10193926083058774,100.91661879579732,2000,500,10
32,2.32,0.5135047156531531,0.14527151743484445,230.35217032964778,-0.8352749999833257,0.5099726644888418,317.11201299292264,161.6978726091056,145.6367526001469,439.5585703491733,1.7272627588206901,4.675219928762002,905.6180837174782,0.5287141016133708,0.20813288347831088,167.42892454955376,2000,500,11
