L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,n_sweeps,n_thermalize,seed
16,2.0,0.9099951171875,0.04724732060873951,3878.4121330217754,-0.09682507241121666,0.06124457780375168,4264.4040184836385,0.766742862701416,0.23814948269713582,3554.873478545783,-0.9435285919370624,2.6132584697271164,3830.5958829524993,0.6645058698263502,0.009769397625654198,3690.9533257471912,8000,1000,0
16,2.15,0.838787821955489,0.08312435595776536,2708.330827516402,-0.18868697405276827,0.13904010067302675,3115.27879564988,0.5647294190872546,0.2688485808059778,3358.919253316425,-1.8435990746219126,3.372699044727584,3808.0480376364935,0.6566020703923219,0.025418414316960493,1906.8253648641032,8000,1000,1
16,2.2,0.7956982421875,0.10717767208519699,2110.804941693233,-0.2613535141752729,0.31339715390827966,3194.3613659766343,0.48377798253839666,0.2738095686359811,2731.0385147764882,-2.2233111951567737,3.4936114751587555,4000.0,0.6432933132834614,0.06087508011034178,1396.043593534249,8000,1000,2
16,2.269185314213022,0.719962890625,0.14531905343510965,1783.0180432112174,-0.41361409904256957,0.6290921436606012,3731.0758186063367,0.37385277073998224,0.20495904371645635,2504.230610896892,-2.7971645877106304,3.6309197134712363,3450.0374620770863,0.6220756703208118,0.08707418801176077,1543.6704590389145,8000,1000,3
16,2.3,0.671544921875,0.15626132652979674,1828.0175926335658,-0.5078176680079233,0.6833239846430276,3618.7582134063405,0.3065075948963995,0.1962842667072235,2435.2332498476626,-3.289699195292298,3.733175775547233,3597.1804647118724,0.6067651688894118,0.1030575540943768,1480.4104453101259,8000,1000,4
16,2.32,0.63921484375,0.16093713849293326,1719.0234334792883,-0.5845627593568561,0.6355788657348742,3132.0869044399715,0.2779462617019127,0.19053616326932488,2093.088452939172,-3.4563618958147626,3.7454534645605895,3494.3004412202276,0.5838203758697013,0.12832123871896206,1130.7732155791437,8000,1000,5
16,2.4,0.5163740234374999,0.17646615867647772,1684.058330448063,-0.9329998515859811,1.229754737005897,4235.718121039941,0.1627749029795329,0.1498621276399706,2161.4388862618134,-4.452755216042714,3.720052295066656,3534.3163283392623,0.529953506384667,0.1722587225168397,1407.158337773682,8000,1000,6
16,2.5,0.3851142578125,0.16470918367999957,1718.1190354932867,-1.4049439801071977,1.7445733621001154,4844.22481043395,0.07375451965332032,0.09387483193053556,2319.9311932479486,-5.559970244069913,3.4887636732370657,3521.245004477927,0.46508146855816784,0.2126510099445494,1307.4611613136954,8000,1000,7
32,2.0,0.911,0.021911304553884795,4145.043243477524,-0.0936687556848969,0.024503980855142566,4164.067257267173,0.7611988387107849,0.23413053847962914,3816.14391640777,-1.217766059324394,3.437629967324119,3949.951157215699,0.6662358421819087,0.0010067668173499244,3557.299711503881,8000,1000,8
32,2.15,0.8355045304294824,0.04347349701179648,2858.9159183169145,-0.18235329607123393,0.0558348903434254,2933.4491860796347,0.5514927105570948,0.24819372676418286,3417.7598861168062,-2.1943903403398517,4.175675733407661,3671.623755035977,0.6637058179724268,0.006194846830138091,2267.1789567046844,8000,1000,9
32,2.2,0.782209716796875,0.07521138027451764,1983.21015308741,-0.258485576934172,0.13723478165872266,2226.1671380145276,0.4457036579738964,0.2541340011172627,3016.959027244077,-2.9589641740982744,4.632382737374083,3753.9807740287574,0.6566071175881691,0.024706049344457963,1404.2855215119007,8000,1000,10
32,2.269185314213022,0.6573462213209552,0.12966111672739397,1417.3181703433906,-0.5060217632690764,0.5427718893683923,2663.5341440481416,0.2857757033722024,0.1730829900210029,2551.3873744006123,-4.032556478182666,4.801555995747881,3755.3573492953233,0.6128026991918862,0.10877220481252693,930.0622903799144,8000,1000,11
32,2.3,0.55379931640625,0.14598448642196415,1059.8552233072082,-0.7573297257209738,0.7447376185392279,2621.4439364952664,0.19038369759269383,0.15757234846956109,1748.9351820729755,-4.877622449396842,4.710236499648468,3381.490113532626,0.5641287491743299,0.13101811597566346,672.167408451252,8000,1000,12
32,2.32,0.5138680670659245,0.15225249574618402,1214.4054634351335,-0.859210550619397,0.7604028413697321,2897.2915303155737,0.15410683648339638,0.13870714603120293,2006.4452947267073,-5.316753921785992,4.69660474833673,3855.26544949381,0.5476858591520645,0.15929309951415643,807.1353219245823,8000,1000,13
32,2.4,0.30878618092023,0.13256263890975867,1430.0203373557724,-1.5457118417211981,1.2473054416201272,3433.8074834526524,0.04129525005817413,0.06464790386231842,1835.497077839151,-6.977336710873859,4.131568164656709,3532.8594594331166,0.4420980968632203,0.22274274084890108,1217.612794695608,8000,1000,14
32,2.5,0.19996630859375,0.10336013910966763,1551.880884145463,-2.037323216972627,1.3003267873039865,3743.774755739323,0.014284329986572267,0.015301448515359996,854.0209420987919,-5.312566176471657,1.3391538103798737,1037.1257676519779,0.43284538039906145,0.22681079885410213,1410.4039228255895,8000,1000,15
